scenario,seed,episode,service_level,total_cost,scri_viol
S1,0,0,0.1236418134132634,5030.0,2
S1,0,1,0.12871646120377084,5188.0,4
S1,0,2,0.12248628884826325,5092.0,0
S1,0,3,0.11346444780635401,5015.0,3
S1,0,4,0.12932482364796774,5541.0,0
S1,0,5,0.11641221374045801,4927.0,1
S1,0,6,0.11662347278785636,5104.0,0
S1,0,7,0.14479799785484448,5186.0,1
S1,0,8,0.11197068403908794,4594.0,0
S1,0,9,0.12815948736205054,5245.0,2
S1,0,10,0.10695187165775401,5297.0,2
S1,0,11,0.11997405966277562,5825.0,4
S1,0,12,0.11659541391371939,4813.0,0
S1,0,13,0.13188518231186966,4898.0,6
S1,0,14,0.1305785123966942,5687.0,4
S1,0,15,0.1435152374202693,5246.0,3
S1,0,16,0.10409993593850096,5896.1,0
S1,0,17,0.1036653091447612,5189.0,5
S1,0,18,0.10642009769713887,5384.0,0
S1,0,19,0.12725344644750794,5290.0,1
S1,0,20,0.11428571428571428,5024.1,2
S1,0,21,0.1282051282051282,4825.0,1
S1,0,22,0.12313562261533126,5388.0,0
S1,0,23,0.1089866156787763,4987.0,3
S1,0,24,0.10200296735905044,5189.0,6
S1,0,25,0.11826086956521739,5467.0,5
S1,0,26,0.1077726975832789,5861.0,7
S1,0,27,0.14325163962720056,5371.0,2
S1,0,28,0.11083743842364532,5336.0,0
S1,0,29,0.11150614091790563,5895.0,3
S1,0,30,0.10877581120943952,5136.0,2
S1,0,31,0.1159047005795235,5889.0,2
S1,0,32,0.12674683132921677,5756.0,2
S1,0,33,0.12539184952978055,4756.0,0
S1,0,34,0.08675078864353312,6092.0,2
S1,0,35,0.11913357400722022,5217.0,1
S1,0,36,0.12939358825801467,4830.0,0
S1,0,37,0.1310592459605027,5187.0,0
S1,0,38,0.12773722627737227,5107.0,0
S1,0,39,0.12208067940552017,5284.0,0
S1,0,40,0.11286277319957004,5314.0,4
S1,0,41,0.12577532736044109,5476.0,4
S1,0,42,0.13259668508287292,5052.0,0
S1,0,43,0.13335837716003004,4966.0,1
S1,0,44,0.13279445727482678,4843.0,1
S1,0,45,0.10956521739130434,5447.0,2
S1,0,46,0.12307692307692308,4937.0,4
S1,0,47,0.11604439959636731,5558.0,0
S1,0,48,0.10838150289017341,5228.0,0
S1,0,49,0.12369540007730963,4831.0,0
S1,0,50,0.09935897435897435,5907.0,0
S1,0,51,0.13260795647738866,5549.0,4
S1,0,52,0.10385259631490787,5697.0,4
S1,0,53,0.12888418079096045,5316.0,2
S1,0,54,0.14912654452492544,4301.0,0
S1,0,55,0.1445643793369314,4830.0,3
S1,0,56,0.11171171171171171,5232.7,2
S1,0,57,0.13212079615648592,5425.0,0
S1,0,58,0.1256544502617801,5377.0,2
S1,0,59,0.14295676429567644,5358.0,4
S1,0,60,0.13932496075353218,4778.0,3
S1,0,61,0.15012815818381545,5029.0,0
S1,0,62,0.15705902657921988,5326.0,0
S1,0,63,0.1446280991735537,4926.1,0
S1,0,64,0.15308004426410918,5059.0,4
S1,0,65,0.1616499442586399,4909.0,0
S1,0,66,0.1164079822616408,5084.0,0
S1,0,67,0.10998307952622674,5582.0,1
S1,0,68,0.10456885456885456,5848.0,0
S1,0,69,0.15689204333208817,4946.0,3
S1,0,70,0.15331544653123802,4790.0,0
S1,0,71,0.17543859649122806,4271.0,0
S1,0,72,0.12727272727272726,5182.0,2
S1,0,73,0.131175468483816,5542.0,3
S1,0,74,0.10881198715661791,5328.0,3
S1,0,75,0.12751436781609196,5205.0,1
S1,0,76,0.14145810663764963,5106.0,0
S1,0,77,0.12913223140495866,5460.0,3
S1,0,78,0.15020576131687244,4482.9,0
S1,0,79,0.155420773313116,4838.0,0
S1,0,80,0.14480111653872993,5299.0,1
S1,0,81,0.13855213023900242,5381.0,2
S1,0,82,0.14556533513879485,5450.0,0
S1,0,83,0.11174116077384923,5638.0,0
S1,0,84,0.11932707355242567,4794.0,0
S1,0,85,0.1412639405204461,4987.0,0
S1,0,86,0.1687289088863892,4888.1,1
S1,0,87,0.12956419316843346,4796.0,3
S1,0,88,0.13370749422251568,5630.0,0
S1,0,89,0.11425462459194777,5171.0,0
S1,0,90,0.13083451202263083,5263.0,0
S1,0,91,0.13410656034795215,5150.0,2
S1,0,92,0.1184990125082291,5713.0,0
S1,0,93,0.15223408461842625,4686.9,2
S1,0,94,0.1489435400069276,5336.0,0
S1,0,95,0.11823719097097814,5254.0,1
S1,0,96,0.15328223925358214,5499.0,0
S1,0,97,0.15996718621821165,4488.0,2
S1,0,98,0.12755102040816327,5175.0,4
S1,0,99,0.11714770797962648,5512.0,0
S1,0,100,0.13859649122807016,5357.0,4
S1,0,101,0.13345195729537365,5257.0,2
S1,0,102,0.14484781811514486,5091.0,3
S1,0,103,0.18097014925373134,4862.0,2
S1,0,104,0.12643678160919541,5757.0,5
S1,0,105,0.15496971856074102,5171.0,0
S1,0,106,0.13972809667673716,4898.0,0
S1,0,107,0.14412053717654766,5648.0,0
S1,0,108,0.13235806339254616,5444.0,5
S1,0,109,0.13657325292656972,5275.0,3
S1,0,110,0.14573587621446563,5215.0,5
S1,0,111,0.15498154981549817,4992.0,1
S1,0,112,0.15863689776733256,4673.0,0
S1,0,113,0.1309408341416101,5748.0,0
S1,0,114,0.15664160401002505,4385.0,0
S1,0,115,0.1550120564932828,5353.0,2
S1,0,116,0.08833333333333333,5767.0,2
S1,0,117,0.12470508931580722,5546.0,0
S1,0,118,0.1429532458795829,5523.0,1
S1,0,119,0.13763007720711648,5560.0,1
S1,0,120,0.13473606496862311,5070.0,2
